"sp";"photo";"id";"codenom";"status";"taxref";"flore";"index";"family";"rank";"source";"obs";"large";"credit";"other";"...16";"...17";"attribution";"powo";"gbif";"inatid";"inat";"idphoto";"idobs";"mnhn";"tropicos";"fna";"inpn";"stat"
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/60740780/original.jpeg";;;;628987;;;"Cyperaceae";1;"inat";"https://www.inaturalist.org/observations/38236974";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"60740780";"38236974";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239105114/original.jpeg";"Espèce aux épillets caractéristiques";;"Exotique";628987;;;"Cyperaceae";2;"inat";"https://www.inaturalist.org/observations/139759855";;;;;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239105114";"139759855";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";"Ex"
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/61375725/original.jpeg";;;;628987;;;"Cyperaceae";3;"inat";"https://www.inaturalist.org/observations/38618674";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"61375725";"38618674";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239105103/original.jpeg";;;;628987;;;"Cyperaceae";4;"inat";"https://www.inaturalist.org/observations/139759855";;;;;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239105103";"139759855";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239706400/original.jpeg";;;;628987;;;"Cyperaceae";5;"inat";"https://www.inaturalist.org/observations/140071507";;;;;;"(c) Mahomed Desai, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239706400";"140071507";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/88633797/original.jpeg";;;;628987;;;"Cyperaceae";6;"inat";"https://www.inaturalist.org/observations/55652845";;;;;;"(c) Jay Horn, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"88633797";"55652845";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/61375751/original.jpeg";;;;628987;;;"Cyperaceae";7;"inat";"https://www.inaturalist.org/observations/38618674";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"61375751";"38618674";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Acroceras elegans";"http://imager.mnhn.fr/imager3/w400/media/1445439854637hXrXBDndX6lRxXmY";"Acroceras elegans se distingue de Panicum robynsii et des Urochloa par le pincement apical et les spinules sur les épillets et les racèmes souvent disposés de façon unilatérale sur l'axe de l'inflorescence. Semble fréquenter les milieux semi-ouverts plutôt secs et parfois urbains.";;"Endémique";966955;;;"Poaceae";1;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00852393";"http://mediaphoto.mnhn.fr/media/1445439854637hXrXBDndX6lRxXmY";"MNHN - Paris, Museum National d'Histoire Naturelle, GLB - 2012 CC-BY";;;;"MNHN - Paris, Museum National d'Histoire Naturelle, GLB - 2012 CC-BY";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";;;"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519596/original.jpeg";;;"Endémique";966955;;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519596";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519653/original.jpeg";;;"Endémique";966955;;;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519653";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/182113415/original.jpeg";;;"Endémique";966955;;;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/108192206";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"182113415";"108192206";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519926/original.jpeg";;;"Endémique";966955;;;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519926";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179520038/original.jpeg";;;"Endémique";966955;;;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179520038";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
